Sample	Mineral	SiO2	P2O5	Pr2O3	SO3	Y2O3	CaO	Nd2O3	PbO	La2O3	Sm2O3	ThO2	Ce2O3	Gd2O3	UO2	SDUO2	SDPbO	SDThO2
P66-c4-2_i	mnz	0,4421	33,26	3,83	0,0029	0,1508	0,7602	12,96	0,0364	13,74	1,95	4,93	29,01	1,1381	0,0797	6,13	8,72	0,19
P66-c4-3_i	mnz	0,5075	32,99	3,96	0,0103	0,0851	0,8065	13,39	0,0394	13,07	1,88	5,41	28,89	0,9778	0,068	6,71	8,06	0,18
P66-c4-4_i	mnz	0,5052	33,18	3,96	0,011	0,0521	0,8041	13,32	0,0427	13,13	1,78	5,42	29,07	0,8002	0,0908	5,44	7,6	0,18
P66-c4-5_i	mnz	0,3082	33,58	4,04	0,005	0,1353	0,7437	12,99	0,0264	13,77	1,98	3,86	29,66	0,9514	0,1328	4,24	11,83	0,22
P66-c4-6_s	mnz	0,3154	33,46	3,99	0,0156	0,1152	0,729	13,07	0,0238	13,68	1,98	3,9	29,72	0,9739	0,1096	5	12,84	0,22
P66-c12-1_?	mnz	0,5688	32,89	3,81	0,0115	0,6917	0,7592	12,48	0,0447	13,68	1,98	5,3	28,15	1,46	0,1305	4,15	7,42	0,18
P66-c12-2_s	mnz	0,2478	33,43	3,65	0,0178	2,51	0,8213	11,49	0,0628	13,5	1,93	4,2	26,66	1,65	0,4929	1,35	5,73	0,21
P66-c12-3_i	mnz	0,5931	32,57	3,93	0,0049	0,4324	0,7295	13,01	0,0476	13,44	1,74	5,61	28,51	1,0054	0,1311	4,06	6,92	0,17
P66-c12-4_i	mnz	0,377	33,16	3,78	0,0149	0,2766	0,8511	12,14	0,0445	14,59	1,7	5,26	28,61	1,043	0,1553	3,56	7,39	0,18
P66-c12-5_i	mnz	0,2115	33,73	3,84	0,0016	0,189	0,8982	11,68	0,0336	15,22	1,85	4,16	28,86	1,1339	0,4251	1,54	9,7	0,21
P66-c12-6_c	mnz	0,6892	35,77	3,79	0,0065	0,2529	0,9271	12,98	0,0814	12,93	1,89	7,28	27,87	1,1424	0,083	5,49	4,47	0,15
