Sample	Mineral	SiO2	Al2O3	Fe2O3	FeO	MgO	CaO	Na2O	K2O	TiO2	P2O5	MnO	Cr2O3	ZnO	SrO
DHZ62p246n3	CH	43.6	1.03	0.9	0.81	41	0.05	0.01	0.03	0.01	0	0.04	0	0	0
DHZ62p300n1	FP	65.76	20.23	0.18	0	0.1	1.19	8.44	3.29	0.08	0	0	0	0	0
DHZ62p300n10	FP	63.62	19.12	0.47	0	0.05	0.05	2.66	12.09	0.08	0	0	0	0	0
DHZ62p324n1	FP	67.84	19.65	0.03	0.02	0.04	0	11.07	0.29	0	0	0	0	0	0
DHZ62p324n8	FP	43.88	36.18	0.08	0	0	19.37	0.22	0	0	0	0	0	0	0
DHZ62p361n2	NE	41.88	32.99	0.74	0	0	0.78	16.11	6.82	0.03	0	0.07	0	0	0
DHZ62p361n4	NE	38.47	30.81	1.63	0.26	0.63	0.2	2.09	25.65	0	0	0	0	0	0
DHZ62p361n1	NE	44.65	32.03	0.59	0	0	0.71	17.25	3.66	0	0	0	0	0	0
DHZ62p361n3	NE	40.2	32.51	1.82	0.57	0.1	1.44	10.86	12.22	0.05	0	0	0	0	0
DHZ62p371n1	LC	54.62	22.93	0.26	0.26	0	0.08	0.66	21.02	0	0	0	0	0	0
DHZ62p371n2	LC	54.66	23.15	0.36	0.11	0.04	0.11	0.63	20.04	0.17	0.08	0.01	0	0	0
DHZ62p371n3	LC	57.42	21.85	1.7	0	0.07	0.19	4.78	13.4	0.24	0	0.03	0	0	0
DHZ62p390n1	AC	52.89	24.63	0	0	0	0.19	13.31	0.73	0	0	0	0	0	0
DHZ62p390n2	AC	56.05	22.36	0.03	0	0.02	0	13.44	0.1	0.01	0	0	0	0	0
DHZ62p390n3	AC	51.41	23.03	1.35	0	0.43	1.19	8.48	4.48	0	0	0	0	0	0
DHZ62p413n1	IL	0.51	0	4.19	42.18	0.46	0.71	0	0	50.02	0	1.44	0	0	0
DHZ62p427n1	SP	0	65.4	4.32	8.03	22.23	0	0	0	0.13	0	0.1	0	0	0
DHZ62p427n3	SP	0.12	55.91	0	7.9	0.12	0	0	0	0	0	0.42	0	0	0
DHZ62p427n7	SP	0.12	10.28	3.3	14.09	12.62	0.14	0	0	0.14	0	0.14	0	0	0
DHZ62p474n1	CB	0	0	0	0	0.04	55.92	0	0	0	0	0	0	0	0
DHZ62p474n2	CB	0	0	0	0.56	46.62	0.43	0	0	0	0	0.12	0	0	0
DHZ62p474n3	CB	0	0	0	0.77	0	0.51	0	0	0	0	60.87	0	0	0
DHZ62p474n4	CB	0	0	0	58.81	0.2	0.08	0	0	0	0	2.86	0	0	0
DHZ78p618n1	SA	12.83	65.29	0.93	0.65	19.78	0	0	0	0	0	0	0	0	0
DHZ78p618n4	SA	11.2	67.5	0	2.9	17.6	0	0	0	0	0	0.1	0.5	0	0
DHZ78p618n21	SA	13.76	57.21	10.44	2.97	14.73	0	0	0	0.12	0	0.35	0	0	0
DHZ82p872n1	CI	25.18	40.27	0	25.14	0.3	0.48	0.05	0.16	0.3	0	0.4	0	0	0
DHZ82p872n32	CI	26.04	43.18	0	11.56	11.2	0	0	0	0	0	0	0	0	0
DHZ82p872n35	CI	25.8	39.5	0	7.7	4.8	0	0	0	0	0	16.2	0	0	0
